TYPES,C,H,N,S,O,Ash,Moisture,Volatile matter,Fixed carbon,Temperature (°C),S/B,Gasifier type,H2,CO,CO2,CH4,Tar (g/Nm3),Gas (Nm3/kg),Char (g/kg)
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,750.0,1.23,fix,47.959,24.49,19.898,7.653,0.78,1.31,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,1.23,fix,58.163,15.306,21.939,4.592,0.22,1.66,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,850.0,1.23,fix,59.0,16.5,22.0,2.5,0.18,1.85,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,0.73,fix,49.49,22.959,15.816,11.735,8.02,1.26,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,1.23,fix,56.281,17.588,21.106,5.025,0.23,1.62,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,2.08,fix,54.315,17.259,24.365,4.061,0.85,1.5,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,2.77,fix,53.266,16.08,25.126,5.528,1.78,1.43,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,3.08,fix,52.792,15.228,26.904,5.076,2.86,1.38,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,1.23,fix,34.807,24.309,25.967,14.917,38.67,0.78,102.4
Type-V,51.64,6.7,0.81,0.5,33.23,7.12,9.34,77.52,15.36,800.0,1.23,fix,51.515,19.192,21.717,7.576,0.76,1.4,102.4
Type-A,34.63,4.67,0.25,0.0,45.33,15.11,10.0,67.44,17.44,780.0,0.8,fluid,52.02,22.222,18.687,7.071,35.71,0.86,137.52
Type-A,34.63,4.67,0.25,0.0,45.33,15.11,10.0,67.44,17.44,750.0,0.8,fluid,55.497,18.848,19.372,6.283,44.66,0.79,145.16
Type-A,34.63,4.67,0.25,0.0,45.33,15.11,10.0,67.44,17.44,700.0,0.8,fluid,54.359,17.949,18.462,9.231,68.35,0.6,164.26
Type-A,34.63,4.67,0.25,0.0,45.33,15.11,10.0,67.44,17.44,650.0,0.8,fluid,43.005,25.389,22.28,9.326,86.3,0.56,221.56
Type-B,37.02,5.17,0.34,0.0,42.18,15.29,7.8,66.81,17.9,780.0,0.8,fluid,52.551,22.449,18.878,6.122,20.0,1.13,62.48
Type-B,37.02,5.17,0.34,0.0,42.18,15.29,7.8,66.81,17.9,750.0,0.8,fluid,51.309,24.084,18.325,6.283,33.07,0.99,85.91
Type-B,37.02,5.17,0.34,0.0,42.18,15.29,7.8,66.81,17.9,700.0,0.8,fluid,46.316,28.947,16.842,7.895,55.67,0.76,121.06
Type-B,37.02,5.17,0.34,0.0,42.18,15.29,7.8,66.81,17.9,650.0,0.8,fluid,38.542,35.417,17.188,8.854,101.43,0.55,175.73
Type-D,40.81,5.17,0.2,0.0,51.46,2.36,11.1,83.69,13.95,780.0,0.8,fluid,52.821,22.564,17.436,7.179,32.17,1.0,173.6
Type-D,40.81,5.17,0.2,0.0,51.46,2.36,11.1,83.69,13.95,750.0,0.8,fluid,52.821,22.564,18.462,6.154,48.51,0.88,190.96
Type-D,40.81,5.17,0.2,0.0,51.46,2.36,11.1,83.69,13.95,700.0,0.8,fluid,47.917,20.833,21.875,9.375,73.75,0.69,195.3
Type-D,40.81,5.17,0.2,0.0,51.46,2.36,11.1,83.69,13.95,650.0,0.8,fluid,40.212,29.101,21.164,9.524,103.03,0.57,203.98
Type-E,41.94,6.22,0.2,0.0,50.33,1.31,8.5,84.59,14.1,780.0,0.8,fluid,52.821,22.564,17.436,7.179,20.55,1.32,58.7
Type-E,41.94,6.22,0.2,0.0,50.33,1.31,8.5,84.59,14.1,750.0,0.8,fluid,57.292,20.833,15.625,6.25,26.92,1.17,99.33
Type-E,41.94,6.22,0.2,0.0,50.33,1.31,8.5,84.59,14.1,700.0,0.8,fluid,58.974,22.564,12.308,6.154,38.46,0.94,139.97
Type-E,41.94,6.22,0.2,0.0,50.33,1.31,8.5,84.59,14.1,650.0,0.8,fluid,52.062,28.351,11.34,8.247,76.62,0.7,198.66
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,720.0,1.2,fluid,71.5,9.0,7.5,12.0,12.7,0.77,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,770.0,1.2,fluid,64.0,13.0,14.0,9.0,12.7,0.91,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,820.0,1.2,fluid,60.0,15.0,17.0,8.0,12.7,1.17,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,870.0,1.2,fluid,56.566,20.202,15.152,8.081,12.7,1.34,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,920.0,1.2,fluid,52.764,25.126,14.07,8.04,12.7,1.48,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,820.0,0.8,fluid,56.0,20.0,15.0,9.0,9.0,0.91,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,820.0,1.0,fluid,57.214,17.91,16.915,7.96,8.85,1.04,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,820.0,1.2,fluid,59.701,14.925,17.413,7.96,7.85,1.18,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,820.0,1.4,fluid,59.701,14.925,17.413,7.96,6.7,1.29,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,820.0,1.7,fluid,60.0,14.5,17.5,8.0,6.55,1.11,102.4
Type-F,45.56,6.38,1.02,0.11,45.36,1.56,11.89,75.78,14.77,820.0,2.0,fluid,60.302,14.07,17.588,8.04,6.5,1.03,102.4
Type-G,46.11,5.49,8.95,0.0,38.29,1.16,7.9,72.45,18.49,820.0,0.5,fluid,43.6,33.2,11.7,11.5,43.0,1.7,102.0
Type-H,47.56,5.43,0.98,0.26,41.46,4.31,9.61,80.92,14.67,675.0,2.0,fluid,62.507,14.37,11.516,11.607,12.7,0.63,62.98
Type-H,47.56,5.43,0.98,0.26,41.46,4.31,9.61,80.92,14.67,675.0,2.0,fluid,82.121,6.446,0.0,11.433,12.7,1.19,27.33
Type-H,47.56,5.43,0.98,0.26,41.46,4.31,9.61,80.92,14.67,675.0,2.0,fluid,84.632,4.275,1.146,9.947,12.7,1.3,23.62
Type-H,47.56,5.43,0.98,0.26,41.46,4.31,9.61,80.92,14.67,676.0,2.0,fluid,82.401,12.363,3.91,1.326,12.7,1.2,25.91
Type-L,48.36,6.13,0.18,0.03,44.2,1.1,6.7,71.7,19.5,805.0,0.85,fluid,53.8,19.4,22.3,4.5,1.0,1.6,102.4
Type-M,48.85,6.33,0.24,0.0,44.08,0.5,11.0,77.43,15.86,830.0,0.5,fluid,44.43,23.39,23.0,9.18,12.7,1.12,111.44
Type-M,48.85,6.33,0.24,0.0,44.08,0.5,11.0,77.43,15.86,830.0,0.7,fluid,47.93,21.11,22.81,8.15,12.7,1.21,102.8
Type-M,48.85,6.33,0.24,0.0,44.08,0.5,11.0,77.43,15.86,830.0,1.0,fluid,48.375,19.932,23.642,8.051,12.7,1.24,85.76
Type-P,49.89,5.91,0.4,0.1,43.43,0.27,0.0,83.17,16.56,770.0,0.41,fluid,28.098,41.499,13.689,16.715,12.7,1.02,102.4
Type-P,49.89,5.91,0.4,0.1,43.43,0.27,0.0,83.17,16.56,770.0,0.65,fluid,39.709,30.313,17.673,12.304,12.7,1.02,102.4
Type-P,49.89,5.91,0.4,0.1,43.43,0.27,0.0,83.17,16.56,770.0,0.96,fluid,57.022,14.256,22.809,5.913,12.7,1.02,102.4
Type-Q,50.08,6.7,0.16,0.2,42.51,0.36,5.01,81.81,17.83,700.0,1.0,fluid,51.0,19.0,17.0,13.0,17.5,1.32,102.4
Type-Q,50.08,6.7,0.16,0.2,42.51,0.36,5.01,81.81,17.83,800.0,1.0,fluid,51.256,22.111,18.593,8.04,15.5,1.55,102.4
Type-Q,50.08,6.7,0.16,0.2,42.51,0.36,5.01,81.81,17.83,900.0,1.0,fluid,54.884,20.465,17.209,7.442,12.5,1.66,102.4
Type-Q,50.08,6.7,0.16,0.2,42.51,0.36,5.01,81.81,17.83,900.0,0.5,fluid,54.46,20.657,17.371,7.512,15.0,1.36,102.4
Type-R,50.09,6.7,0.16,0.2,42.51,0.34,5.01,77.71,16.94,800.0,0.2,fluid,39.586,31.657,18.818,9.939,3.0,0.76,242.68
Type-R,50.09,6.7,0.16,0.2,42.51,0.34,5.01,77.71,16.94,800.0,0.4,fluid,39.646,34.357,15.568,10.429,2.56,0.85,229.29
Type-R,50.09,6.7,0.16,0.2,42.51,0.34,5.01,77.71,16.94,800.0,0.6,fluid,45.13,26.56,18.57,9.74,2.09,0.91,209.6
Type-R,50.09,6.7,0.16,0.2,42.51,0.34,5.01,77.71,16.94,800.0,0.9,fluid,42.89,30.78,18.03,8.3,1.55,0.95,198.74
Type-R,50.09,6.7,0.16,0.2,42.51,0.34,5.01,77.71,16.94,800.0,1.2,fluid,42.446,30.957,19.148,7.449,1.39,0.97,193.43
Type-T,50.6,5.89,0.2,0.0,43.11,0.2,7.2,85.4,14.4,850.0,1.11,fluid,47.06,22.09,21.47,9.38,2.9,1.44,102.4
Type-U,51.07,5.78,0.2,0.1,42.41,0.43,8.0,84.13,15.43,700.0,1.1,fluid,23.56,42.408,19.372,14.66,12.7,0.49,102.4
Type-U,51.07,5.78,0.2,0.1,42.41,0.43,8.0,84.13,15.43,750.0,1.1,fluid,26.316,42.105,16.842,14.737,11.9,0.51,102.4
Type-U,51.07,5.78,0.2,0.1,42.41,0.43,8.0,84.13,15.43,800.0,1.1,fluid,26.984,44.974,13.757,14.286,10.4,0.59,102.4
Type-W,53.77,5.39,0.43,0.12,38.34,1.95,0.0,74.23,23.82,770.0,0.41,fluid,41.721,30.248,17.08,10.952,12.7,1.02,102.4
Type-W,53.77,5.39,0.43,0.12,38.34,1.95,0.0,74.23,23.82,770.0,0.63,fluid,46.593,23.956,20.879,8.571,12.7,1.02,102.4
Type-W,53.77,5.39,0.43,0.12,38.34,1.95,0.0,74.23,23.82,770.0,0.97,fluid,51.447,19.078,23.365,6.109,12.7,1.02,102.4
Type-W,53.77,5.39,0.43,0.12,38.34,1.95,0.0,74.23,23.82,770.0,1.09,fluid,53.719,17.562,22.727,5.992,12.7,1.02,102.4
Type-W,55.044,5.759,0.41,0.119,34.485,1.902,0.0,75.687,22.713,756.244,1.174,fluid,53.431,17.625,22.779,6.005,12.751,1.012,102.514
Type-V,51.217,6.205,0.87,0.499,33.821,7.268,9.729,76.383,15.337,789.305,1.184,fix,56.056,17.635,21.143,5.034,0.231,1.674,101.682
Type-C,41.399,5.566,0.909,0.094,39.99,13.035,0.0,69.185,9.709,699.17,0.973,fix,45.748,29.51,17.693,7.041,12.825,0.601,103.277
Type-F,46.16,6.904,1.044,0.11,41.935,1.616,11.389,73.835,14.738,839.638,1.958,fluid,60.13,14.854,17.351,7.932,6.608,1.189,98.326
Type-E,43.815,6.455,0.198,0.0,48.761,1.211,8.967,83.838,13.811,664.553,0.907,fluid,52.412,28.224,11.315,8.229,81.139,0.669,206.952
Type-F,45.375,6.529,1.058,0.106,43.446,1.548,11.316,76.35,14.686,777.414,1.259,fluid,64.185,12.975,13.978,8.986,14.372,0.863,98.396
Type-W,52.377,5.172,0.419,0.125,38.97,1.898,0.0,76.135,23.936,780.599,1.332,fluid,53.941,17.514,22.688,5.981,13.315,0.984,100.722
Type-O,42.547,6.134,0.039,0.0,43.679,0.562,9.322,81.891,16.566,831.843,1.167,fix,30.467,43.735,13.44,12.365,346.836,0.781,8.892
Type-W,60.392,5.338,0.436,0.12,36.1,2.061,0.0,77.021,24.762,728.162,0.636,fluid,45.834,24.216,20.984,8.614,12.123,1.092,95.223
Type-F,44.551,6.501,1.119,0.11,44.415,1.627,12.317,72.175,14.374,850.451,0.942,fluid,57.851,17.777,16.831,7.92,9.335,1.062,89.755
Type-C,38.28,5.168,0.911,0.093,38.947,12.977,0.0,80.537,10.479,529.23,1.21,fix,16.942,52.262,21.901,8.668,12.318,0.163,106.579
Type-N,49.737,5.255,0.253,0.345,38.041,6.166,0.0,81.793,13.599,861.793,1.204,fix,52.858,16.068,28.996,2.198,3.284,1.256,103.935
Type-N,51.01,5.701,0.255,0.308,43.934,5.681,0.0,82.056,13.377,888.437,0.966,fix,54.623,23.036,20.875,1.347,0.0,1.749,91.86
Type-I,54.153,6.591,1.116,0.22,33.419,9.712,9.7,63.749,16.765,930.235,0.789,fix,45.029,30.673,19.074,5.407,13.17,1.495,58.581
Type-P,44.108,5.831,0.422,0.098,44.809,0.255,0.0,77.74,15.938,754.766,0.571,fluid,39.473,30.433,17.694,12.319,12.049,0.96,104.703
Type-V,52.967,6.873,0.966,0.514,35.117,7.46,9.644,76.298,15.943,844.473,1.325,fix,57.22,17.392,20.95,4.988,0.221,1.601,99.915
Type-N,49.234,5.536,0.226,0.356,38.442,5.981,0.0,79.296,14.189,902.047,0.93,fix,54.166,23.642,20.868,1.344,0.0,1.225,92.518
Type-K,49.357,5.788,0.581,0.01,34.92,7.211,0.0,76.898,21.141,860.558,1.002,fix,52.5,22.089,19.512,6.004,12.498,0.874,194.91
Type-A,33.266,5.119,0.235,0.0,45.849,14.854,9.592,69.797,17.963,786.777,1.069,fluid,52.156,22.184,18.669,7.064,34.851,0.77,134.632
Type-F,46.755,7.397,1.024,0.115,48.863,1.587,12.441,78.083,15.533,823.48,0.761,fluid,56.071,19.983,14.992,8.995,8.535,0.919,104.864
Type-J,47.63,7.191,0.182,0.094,35.711,7.654,0.0,85.159,5.657,711.676,1.141,fix,19.357,22.597,26.671,31.384,13.622,0.438,105.376
Type-N,52.993,4.93,0.27,0.349,38.725,5.486,0.0,84.069,14.626,901.269,1.246,fix,54.857,22.971,20.84,1.345,0.0,1.616,91.634
Type-B,39.436,5.175,0.352,0.0,41.526,15.538,7.749,67.134,18.433,670.635,0.898,fluid,38.909,35.192,17.163,8.842,97.28,0.608,166.891
Type-P,51.554,5.703,0.4,0.09,47.274,0.266,0.0,86.513,17.068,739.645,0.725,fluid,39.24,30.552,17.714,12.333,13.562,0.998,103.444
Type-A,36.467,4.725,0.246,0.0,46.369,15.251,10.413,71.913,16.608,660.459,0.809,fluid,53.438,18.151,18.595,9.298,60.354,0.589,155.888
Type-N,46.439,5.435,0.246,0.345,37.818,5.786,0.0,86.023,14.381,820.799,1.157,fix,48.519,15.076,33.634,2.96,31.878,1.324,151.891
Type-V,51.758,6.83,0.799,0.497,34.632,6.74,9.012,73.771,16.463,783.97,1.177,fix,48.611,24.268,19.813,7.62,0.753,1.301,99.325
Type-N,48.504,5.071,0.263,0.309,35.677,5.742,0.0,82.183,15.162,863.679,0.816,fix,52.79,26.485,18.077,2.302,0.0,1.182,103.84
Type-F,48.748,6.237,1.037,0.11,48.473,1.507,12.576,74.359,14.257,789.207,1.234,fluid,59.324,15.113,17.096,8.045,12.77,1.19,112.187
Type-I,46.568,6.764,1.136,0.218,35.321,9.498,10.024,60.58,15.576,700.131,1.44,fix,30.352,36.249,21.79,11.61,13.511,1.454,72.424
Type-S,52.5,6.286,0.102,0.0,45.661,0.435,0.0,83.763,13.386,531.887,1.055,fix,7.96,37.845,41.274,12.765,13.47,0.152,102.654
Type-A,36.164,4.638,0.253,0.0,40.41,14.742,10.667,70.75,17.728,656.728,0.973,fluid,53.351,18.171,18.608,9.304,68.3,0.624,161.949
Type-S,53.174,6.592,0.093,0.0,43.828,0.448,0.0,96.741,12.284,500.0,0.826,fix,7.616,38.972,40.953,12.665,13.723,0.144,105.268
Type-N,51.225,5.172,0.256,0.331,37.886,5.61,0.0,75.764,14.06,877.197,0.901,fix,53.718,23.773,20.934,1.349,0.0,1.232,105.65
Type-F,43.51,6.419,1.121,0.108,42.957,1.574,11.429,75.87,15.003,820.882,1.689,fluid,60.019,14.497,17.497,7.999,6.538,1.113,103.384
Type-C,36.018,5.578,1.006,0.086,42.759,13.883,0.0,67.278,9.979,739.928,1.207,fix,46.548,29.166,17.613,7.009,12.126,0.575,102.155
Type-D,40.096,4.624,0.213,0.0,48.095,2.664,10.754,85.37,15.099,710.987,0.825,fluid,51.996,22.799,18.571,6.19,52.098,0.967,176.418
Type-B,40.554,4.808,0.35,0.0,40.808,14.918,7.569,63.924,17.943,751.603,0.911,fluid,51.977,22.612,18.955,6.148,19.169,1.145,62.323
Type-R,50.068,6.851,0.167,0.206,43.118,0.37,5.321,77.377,16.169,804.349,1.363,fluid,42.515,30.923,19.141,7.447,1.434,0.98,209.959
Type-C,35.732,5.645,1.094,0.083,42.274,12.637,0.0,74.391,10.795,500.0,1.198,fix,16.269,53.686,21.738,8.603,13.403,0.177,98.697
Type-S,49.641,6.59,0.097,0.0,42.975,0.496,0.0,91.656,13.165,760.846,1.163,fix,37.359,30.461,21.83,10.626,12.914,0.509,99.903
Type-P,48.192,6.129,0.405,0.104,39.723,0.263,0.0,91.1,17.017,759.186,0.594,fluid,39.542,30.398,17.688,12.314,12.888,1.056,113.707
Type-E,41.438,6.476,0.209,0.0,50.571,1.252,8.622,85.289,14.501,610.494,0.802,fluid,51.113,28.695,11.409,8.298,73.269,0.686,203.72
Type-R,50.712,6.546,0.153,0.208,40.69,0.341,4.89,79.571,17.223,831.183,0.925,fluid,43.392,30.54,17.983,8.278,1.63,0.926,196.058
Type-O,56.361,6.456,0.039,0.0,44.38,0.546,10.202,83.114,19.519,875.531,1.034,fix,39.466,34.216,17.302,8.913,144.543,0.955,4.573
Type-I,48.07,7.427,1.188,0.221,38.239,9.533,9.785,65.609,17.081,777.729,0.931,fix,42.71,25.421,23.411,8.308,11.976,2.08,53.185
Type-O,50.087,5.913,0.038,0.0,41.884,0.565,8.761,86.68,17.794,884.315,1.129,fix,39.583,34.15,17.293,8.908,146.375,0.93,4.294
Type-N,42.083,5.484,0.26,0.348,36.433,5.933,0.0,77.111,13.804,906.153,0.698,fix,54.24,23.62,20.857,1.344,0.0,1.263,96.577
Type-M,48.448,6.33,0.242,0.0,42.587,0.504,10.57,80.04,15.769,792.882,0.44,fluid,43.834,23.599,23.089,9.216,12.798,1.264,105.271
Type-N,54.83,5.97,0.243,0.279,38.747,5.707,0.0,77.632,14.3,776.0,0.986,fix,42.427,13.663,38.011,6.09,60.543,0.994,170.541
Type-U,54.317,5.989,0.189,0.097,43.448,0.404,8.285,83.119,15.141,723.788,1.254,fluid,23.8,42.12,19.381,14.667,13.151,0.501,100.552
Type-V,48.909,6.498,0.8,0.534,34.509,7.238,9.746,79.564,15.561,728.983,1.179,fix,34.267,30.514,19.455,15.871,1.711,1.089,100.052
Type-J,50.322,7.139,0.191,0.088,37.424,7.966,0.0,82.469,5.395,727.214,0.994,fix,19.485,22.496,26.663,31.375,12.912,0.429,95.525
Type-M,45.557,6.565,0.242,0.0,43.675,0.5,11.191,75.34,15.243,837.695,0.372,fluid,44.554,23.347,22.982,9.173,12.824,1.065,113.715
Type-N,48.839,5.196,0.239,0.325,41.116,5.612,0.0,89.08,15.318,857.435,1.157,fix,53.361,23.877,20.987,1.352,0.0,1.327,102.953
Type-V,52.153,6.219,0.834,0.462,31.903,7.598,8.927,79.745,14.013,787.612,1.166,fix,34.645,24.385,25.989,14.93,42.694,0.768,102.888
Type-O,44.842,6.115,0.039,0.0,45.15,0.521,8.404,79.599,17.466,854.476,1.274,fix,30.206,39.641,17.988,12.169,239.586,0.748,6.912
Type-N,50.436,5.705,0.258,0.313,38.016,5.57,0.0,79.603,14.909,917.694,0.833,fix,54.449,23.56,20.826,1.342,0.0,1.322,89.777
Type-Q,52.095,7.012,0.16,0.2,43.078,0.373,4.939,82.309,17.553,817.291,1.193,fluid,51.589,22.015,18.549,8.021,15.59,1.453,115.743
Type-I,50.329,6.534,1.172,0.23,32.643,9.492,9.175,68.292,16.65,911.166,1.384,fix,50.086,18.903,26.274,4.833,12.786,2.582,23.076
Type-R,43.46,6.944,0.158,0.21,43.054,0.34,5.171,77.042,16.919,830.754,0.675,fluid,45.65,26.356,18.511,9.709,2.032,0.837,215.551
Type-I,51.779,6.615,1.199,0.219,36.49,9.051,10.003,69.37,17.258,893.342,2.521,fix,47.923,16.574,33.027,2.422,12.541,1.305,100.548
Type-D,45.523,4.998,0.212,0.0,55.631,2.175,11.141,81.524,13.532,645.857,0.701,fluid,40.135,29.138,21.172,9.528,105.891,0.552,198.922
Type-V,47.767,6.912,0.909,0.503,30.391,7.18,9.339,77.182,16.086,795.797,1.248,fix,51.434,19.212,21.73,7.58,0.812,1.448,101.719
Type-D,40.019,5.244,0.203,0.0,53.154,2.597,11.002,80.35,12.988,808.142,0.726,fluid,53.392,22.401,17.365,7.15,30.994,0.998,189.177
Type-F,49.808,6.642,1.076,0.111,45.717,1.695,11.665,77.852,14.573,842.687,1.005,fluid,57.689,17.811,16.852,7.93,8.731,0.979,98.598
Type-B,35.818,5.294,0.334,0.0,40.422,14.763,7.993,68.207,18.258,775.213,0.984,fluid,51.826,23.922,18.26,6.26,32.697,0.99,89.423
Type-N,46.734,5.334,0.242,0.339,38.799,5.541,0.0,84.324,14.863,662.765,1.111,fix,35.641,12.205,40.919,11.019,90.779,0.856,179.303
